Year,Transect,Shoreline_Distance
2016,0,999.9999999999836
2017,0,993.1178853454085
2018,0,993.1178853454085
2019,0,985.6272455549711
2020,0,993.1178853454085
2021,0,986.2357671472939
2022,0,993.1178853454085
2023,0,993.1178853454085
2024,0,986.2357671472939
2025,0,993.1178853454085
2016,1,1000.0000000000343
2017,1,986.235785416204
2018,1,986.235785416204
2019,1,986.235785416204
2020,1,986.235785416204
2021,1,986.235785416204
2022,1,986.235785416204
2023,1,986.235785416204
2024,1,993.117893865786
2025,1,993.117893865786
2016,2,1800.7782457672704
2017,2,1800.7782457672704
2018,2,1800.7782457672704
2019,2,1810.3113434662312
2020,2,1810.3113434662312
2021,2,1810.3113434662312
2022,2,1810.3113434662312
2023,2,1810.3113434662312
2024,2,1810.3113434662312
2025,2,1800.7782457672704
2016,3,999.9999999998926
2017,3,999.9999999998926
2018,3,999.9999999998926
2019,3,999.9999999998926
2020,3,990.042467201006
2021,3,999.9999999998926
2022,3,990.042467201006
2023,3,999.9999999998926
2024,3,999.9999999998926
2025,3,999.9999999998926
2016,4,1000.0000000000504
2017,4,1000.0000000000504
2018,4,1000.0000000000504
2019,4,1000.0000000000504
2020,4,990.0424669950677
2021,4,1000.0000000000504
2022,4,990.0424669950677
2023,4,1000.0000000000504
2024,4,1000.0000000000504
2025,4,1000.0000000000504
2016,5,1772.1927790481548
2017,5,1772.1927790481548
2018,5,1772.1927790481548
2019,5,1781.726043715225
2020,5,1781.726043715225
2021,5,1781.726043715225
2022,5,1781.726043715225
2023,5,1781.726043715225
2024,5,1781.726043715225
2025,5,1781.726043715225
2016,6,1743.5699736098125
2017,6,1743.5832599172363
2018,6,1743.5832599172363
2019,6,1753.1164003320246
2020,6,1753.1164003320246
2021,6,1753.1164003320246
2022,6,1753.1164003320246
2023,6,1753.1164003320246
2024,6,1753.1164003320246
2025,6,1753.1164003320246
2016,7,1009.9456122681477
2017,7,1029.8368370558799
2018,7,1029.8368370558799
2019,7,1039.7824495740858
2020,7,1009.9456122681477
2021,7,1000.0000000000201
2022,7,1009.9456122681477
2023,7,1039.7824495740858
2024,7,1049.7280621761174
2025,7,1049.7280621761174
2016,8,1419.4528126964478
2017,8,1734.050527775787
2018,8,1734.050527775787
2019,8,1743.5836729365958
2020,8,1743.5836729365958
2021,8,1743.5836729365958
2022,8,1743.5836729365958
2023,8,1743.5836729365958
2024,8,1743.5836729365958
2025,8,1743.5836729365958
2016,9,1009.9456127567313
2017,9,1009.9456127567313
2018,9,1009.9456127567313
2019,9,1039.7824515283291
2020,9,1009.9456127567313
2021,9,1009.9456127567313
2022,9,999.9999999999717
2023,9,1049.7280646182946
2024,9,1049.7280646182946
2025,9,1049.7280646182946
2016,10,1402.5028201856696
2017,10,1724.5284744122039
2018,10,1724.5284744122039
2019,10,1734.0617630460486
2020,10,1734.0617630460486
2021,10,1734.0617630460486
2022,10,1734.0617630460486
2023,10,1734.0617630460486
2024,10,1734.0617630460486
2025,10,1734.0617630460486
2016,11,1373.7530392617061
2017,11,1709.1673465950291
2018,11,1709.1673465950291
2019,11,1718.750541828055
2020,11,1724.5288766521364
2021,11,1724.5288766521364
2022,11,1724.5288766521364
2023,11,1724.5288766521364
2024,11,1724.5288766521364
2025,11,1724.5288766521364
2016,12,1000.0000000001135
2017,12,1009.9456143055037
2018,12,1009.9456143055037
2019,12,980.1087716398772
2020,12,980.1087716398772
2021,12,1029.836843166364
2022,12,1000.0000000001135
2023,12,1029.836843166364
2024,12,1039.7824577215997
2025,12,1039.7824577215997
2016,13,1345.0031941884463
2017,13,1354.5865435741225
2018,13,1354.5865435741225
2019,13,1373.7532305583234
2020,13,1705.4627223474743
2021,13,1705.4627223474743
2022,13,1705.4627223474743
2023,13,1705.4627223474743
2024,13,1705.4627223474743
2025,13,1705.4627223474743
2016,14,1287.5034554665056
2017,14,1297.0868430909768
2018,14,1297.0868430909768
2019,14,1306.670226787099
2020,14,1676.8639563685995
2021,14,1670.835896830744
2022,14,1676.8639563685995
2023,14,1676.8639563685995
2024,14,1676.8639563685995
2025,14,1676.8639563685995
2016,15,1266.9264241853589
2017,15,1276.4594554923447
2018,15,1276.4594554923447
2019,15,1285.9924829871452
2020,15,1667.3104576730047
2021,15,1600.5802522438998
2022,15,1667.321160036031
2023,15,1667.321160036031
2024,15,1667.321160036031
2025,15,1667.321160036031
2016,16,1009.9456167478071
2017,16,1019.8912335788189
2018,16,1019.8912335788189
2019,16,990.0543833358606
2020,16,990.0543833358606
2021,16,1009.9456167478071
2022,16,1019.8912335788189
2023,16,1019.8912335788189
2024,16,1059.673701736231
2025,16,1049.728084572245
2016,17,1247.8604877990158
2017,17,1257.3935320225496
2018,17,1257.3935320225496
2019,17,1266.9265724366899
2020,17,1571.981853336871
2021,17,1552.916012608282
2022,17,1657.7883470106635
2023,17,1657.7883470106635
2024,17,1657.7779480021798
2025,17,1657.7883470106635
2016,18,1009.9456172357588
2017,18,1009.9456172357588
2018,18,1009.9456172357588
2019,18,999.9999999999305
2020,18,999.9999999999305
2021,18,1009.9456172357588
2022,18,1029.8368519586575
2023,18,1029.8368519586575
2024,18,1059.6737046671547
2025,18,1049.7280870147622
2016,19,1230.0033992643173
2017,19,1239.5868251276956
2018,19,1239.5868251276956
2019,19,1249.1702470619139
2020,19,1555.8376751072954
2021,19,1536.6710786803317
2022,19,1648.2650996102993
