Year,Transect,Shoreline_Distance
2016,0,999.9999999999677
2017,0,1027.6380493545357
2018,0,1014.2899123820189
2019,0,1013.8190262071253
2020,0,999.9999999999677
2023,0,1006.9095145505139
2025,0,1006.9095145505139
2026,0,1014.2899123820189
2016,1,999.9999999999302
2017,1,1013.8190200006281
2018,1,999.9999999999302
2019,1,1013.8190200006281
2020,1,993.0904900667207
2023,1,999.9999999999302
2024,1,986.6218227782983
2025,1,999.9999999999302
2026,1,999.9999999999302
2016,2,1000.0000000000622
2017,2,1013.8190169131504
2018,2,1000.0000000000622
2019,2,1013.8190169145091
2020,2,993.0904916094843
2023,2,1000.0000000000622
2024,2,1000.0000000000622
2025,2,1000.0000000000622
2026,2,1000.0000000000622
2016,3,999.9999999999536
2017,3,1020.7284834674299
2018,3,999.9999999999536
2019,3,1006.9094960143141
2020,3,986.6219112875782
2023,3,1006.9094960143141
2024,3,999.9999999999536
2025,3,999.9999999999536
2026,3,986.181008106458
2016,4,1000.0000000000788
2017,4,1020.7284788367762
2018,4,1000.0000000000788
2019,4,1006.9094944709979
2020,4,993.0905070439879
2023,4,1000.0000000000788
2024,4,1000.0000000000788
2025,4,1000.0000000000788
2026,4,986.6219201385261
2016,5,1000.0000000000579
2017,5,1020.7284742064458
2018,5,1000.0000000000579
2019,5,1000.0000000010456
2020,5,993.0905085870343
2023,5,1000.0000000000579
2024,5,1000.0000000000579
2025,5,1000.0000000000579
2026,5,993.0905085876092
2016,6,999.9999999999662
2017,6,1020.7284556876064
2018,6,999.9999999999662
2019,6,1000.0000000002955
2020,6,986.1810266261696
2023,6,999.9999999999662
2024,6,993.090514759296
2025,6,979.2715397054756
2026,6,985.7100319141226
2016,7,1000.0000000000231
2017,7,1028.8429770299974
2018,7,1000.0000000000231
2019,7,1000.0000000000231
2020,7,980.7713565161699
2023,7,1009.6143256992269
2024,7,990.3856762680056
2025,7,990.3856742778271
2026,7,971.1570407472522
2016,8,1000.0000000000812
2017,8,1013.8189644071466
2018,8,1000.0000000000812
2019,8,993.090517863359
2020,8,979.271549014064
2023,8,1000.0000000000812
2024,8,986.6219821286628
2025,8,986.6219821286628
2026,8,972.3620626024865
2016,9,999.9999999999832
2017,9,1013.818961320612
2018,9,999.9999999999832
2019,9,993.0905194059017
2020,9,979.2715536433309
2023,9,999.9999999999832
2024,9,993.090519405698
2025,9,999.9999999999832
2026,9,972.362068775424
2016,10,1000.0000000000194
2017,10,1020.7284371185456
2018,10,1000.0000000000194
2019,10,993.0905209498341
2020,10,979.2715582742296
2023,10,1000.0000000000194
2024,10,993.0905209497921
2025,10,1000.0000000000194
2026,10,971.42004272137
2016,11,1000.0000000000724
2017,11,1038.6419268349844
2018,11,1000.0000000000724
2019,11,990.3395182894232
2020,11,971.0185544355819
2023,11,1000.0000000000724
